center,left,right,steering,reverse,throttle,speed
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_48_663.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_48_663.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_48_663.jpg,0,0,0,7.278063
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_48_790.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_48_790.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_48_790.jpg,0,0.3850679,0,7.585811
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_48_924.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_48_924.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_48_924.jpg,-0.2,0.3769829,0,8.255955
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_052.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_052.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_052.jpg,-0.5000001,0,0,8.262154
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_119.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_119.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_119.jpg,0,0,0,8.186296
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_269.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_269.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_269.jpg,0,0,0,8.051332
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_411.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_411.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_411.jpg,-0.35,0,0,7.907695
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_485.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_485.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_485.jpg,0,0,0,7.833289
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_588.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_588.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_588.jpg,0,0,0,7.753262
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_681.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_681.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_681.jpg,-0.2,0,0,7.681697
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_749.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_749.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_749.jpg,-0.4,0,0,7.589588
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_815.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_815.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_815.jpg,-0.5500001,0,0,7.509288
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_49_970.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_49_970.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_49_970.jpg,0,0.279282,0,7.601615
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_052.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_052.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_052.jpg,0,0.5206261,0,8.027782
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_124.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_124.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_124.jpg,0,0.741933,0,8.665961
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_192.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_192.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_192.jpg,-0.15,0.5360219,0,9.013525
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_326.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_326.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_326.jpg,-0.5000001,0.132009,0,9.222636
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_402.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_402.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_402.jpg,-0.6500001,0,0,9.127083
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_502.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_502.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_502.jpg,-0.9000002,0,0,8.923953
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_582.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_582.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_582.jpg,-1,0.2385839,0,8.966938
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_689.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_689.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_689.jpg,-1,0.564966,0,9.579902
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_783.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_783.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_783.jpg,-1,0.847521,0,10.43173
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_884.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_884.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_884.jpg,-1,1,0,11.46464
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_50_976.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_50_976.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_50_976.jpg,-1,0.725107,0,12.22439
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_069.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_069.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_069.jpg,-1,0.497683,0,12.41424
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_319.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_319.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_319.jpg,-0.5,0,0,12.36362
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_403.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_403.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_403.jpg,-0.2,0,0,12.23392
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_501.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_501.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_501.jpg,0,0,0,11.79909
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_573.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_573.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_573.jpg,0,0,0,12.06435
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_642.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_642.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_642.jpg,0,0,0,12.04368
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_778.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_778.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_778.jpg,0.15,0,0,11.95684
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_51_857.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_51_857.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_51_857.jpg,0.4,0,0,11.27237
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_52_007.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_52_007.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_52_007.jpg,0.7500002,0,0,11.14438
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_52_069.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_52_069.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_52_069.jpg,0,0,0,11.00447
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_52_180.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_52_180.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_52_180.jpg,0,0,0,10.88218
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_52_265.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_52_265.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_52_265.jpg,0,0,0,10.76775
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_52_337.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_52_337.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_52_337.jpg,0,0,0,10.69995
/Users/shivamdesai/Desktop/IMG/center_2017_12_03_18_22_52_407.jpg,/Users/shivamdesai/Desktop/IMG/left_2017_12_03_18_22_52_407.jpg,/Users/shivamdesai/Desktop/IMG/right_2017_12_03_18_22_52_407.jpg,0,0.2099639,0,10.79611
